NOM	ADREÇA	DISTRICTE	C. P.	POBLACIO	PAIS	Telèfon 1	Telèfon 2	WEB	E-MAIL	INFO EXTRA 1	INFO EXTRA 2	INFO EXTRA 3
Bar Piscis	Carrer Clot 182 bxs	Sant Martí	08026	BARCELONA	ESPANYA	+34 932654056						
Bar Restaurant La Terraza	Carrer Besalú 66	Sant Martí	08026	BARCELONA	ESPANYA	+34 933402758						
Cafè Mozart - Muntaner	Muntaner 0307	Sarrià-Sant Gervasi	08021	BARCELONA	ESPANYA	+34 934143895	+34 934143897					
Restaurant 10 Lire	Carrer Santaló 86	Sarrià-Sant Gervasi	08021	BARCELONA	ESPANYA	+34 651031242		http://www.10lire.com	info@10lire.com			
Restaurant Royal Express	Carrer Cardenal Reig 18	Les Corts	08028	BARCELONA	ESPANYA	+34 934401403						
Restaurant El Tinglado de Moncho -  Port Olimpic	Moll Gregal 6	Sant Martí	08005	BARCELONA	ESPANYA	+34 932218383	+34 932218595	http://www.monchos.com	info@monchos.com			
Bar Restaurant Zappin	Carrer Rosselló 59	Eixample	08029	BARCELONA	ESPANYA	+34 934107414	+34 934392898					
Restaurant Miralport	Carrer Marina 16-18 1r	Sant Martí	08005	BARCELONA	ESPANYA	+34 935111465						
Bar Restaurant Ca la Magda	Carrer Enric Granados 10	Eixample	08007	BARCELONA	ESPANYA	+34 934518997						
Restaurant La Camarga	Carrer Aribau 117	Eixample	08036	BARCELONA	ESPANYA	+34 933236655	+34 934541011	http://www.lacamarga.com	macglory@laprovenza.com			
Restaurant Can Costa	Pg J Borbó Comte Barcelona 70	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 932215903	+34 932215043	http://www.cancosta.com	cancosta@cancosta.com	+34 932214262		
Restaurant El Asador de Aranda - Londres	Carrer Londres 94	Eixample	08036	BARCELONA	ESPANYA	+34 934146790	+34 934146790	http://www.asadoraranda.com	asador@asadoraranda.com			
Restaurant El Portal	Pallars 120	Sant Martí	08018	BARCELONA	ESPANYA	+34 618545625	+34 933005503	http://www.masiaelportal.com	info@masiaelportal.com			
Restaurant Casa Toni	Carrer Sepúlveda 62	Eixample	08015	BARCELONA	ESPANYA	+34 934240068	+34 934254270			+34 932289202		
Restaurant xinès City Garden	Agustina Saragossa 0003-5	Les Corts	08017	BARCELONA	ESPANYA	+34 932801989						
Restaurant Cafè Ninoska	Av Icària 131	Sant Martí	08005	BARCELONA	ESPANYA	+34 932212444						
Restaurant San Kil	Legalitat 22	Gràcia	08024	BARCELONA	ESPANYA	+34 932844179	+34 932842723					
Cafeteria Valmés Cafe	Carrer Balmes 246	Sarrià-Sant Gervasi	08006	BARCELONA	ESPANYA	+34 934155819						
Cafeteria Restaurant Tot Daxa - Balmes	Carrer Balmes 327	Sarrià-Sant Gervasi	08006	BARCELONA	ESPANYA	+34 934170158	+34 934340846					
Restaurant Pizzeria San Marino	Carrer Ciutat 12	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933020182						
Restaurant Tivoli's Bistro	Carrer Magalhaes 35	Sants-Montjuïc	08004	BARCELONA	ESPANYA	+34 934414017		http://www.tivolisbistro.com	tivolisbistro@tivolisbistro.com			
Restaurant La Pizza Nostra	Portbou 33	Sants-Montjuïc	08028	BARCELONA	ESPANYA	+34 933309493	+34 933309493					
Restaurant Ba Ba Reeba	Pg Gràcia 28	Eixample	08007	BARCELONA	ESPANYA	+34 933014302	+34 933425539	http://www.grupcacheiro.com				
Bar Restaurant La Llave	Carrer Consell de Cent 388	Eixample	08009	BARCELONA	ESPANYA	+34 932650921		http://www.lallaverestaurant.com	bcn@lallaverestaurant.com			
Restaurant Cerveseria Pepe	Av Paral.lel 75	Sants-Montjuïc	08004	BARCELONA	ESPANYA							
Bar Restaurant Agullers -  Fil i Gana	Carrer Agullers 8	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 932680361						
Bar Restaurant Daru Salam	Carrer Agullers 18	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 932682638						
Restaurant Taktika Berri	Carrer València 169	Eixample	08011	BARCELONA	ESPANYA	+34 934534759						
Restaurant Nice Space	Pujades 207 Baix	Sant Martí	08005	BARCELONA	ESPANYA	+34 933089548						
Bar Cafeteria Coch	Carrer Floridablanca 93	Eixample	08015	BARCELONA	ESPANYA	+34 933254592						
Bar Restaurant Bacus	Carrer Sicília 346	Gràcia	08025	BARCELONA	ESPANYA	+34 934592636						
Restaurant Medulio	Av Príncep d'Astúries 6	Gràcia	08012	BARCELONA	ESPANYA	+34 932173868	+34 934153436	http://www.medulio.net	restaurante@medulio.net			
Restaurant Barkito	Carrer Còrsega 225	Eixample	08036	BARCELONA	ESPANYA	+34 934305160	+34 933223321					
Restaurant Japonès Chicu Yo Tei	Ptge Marimon 6	Sarrià-Sant Gervasi	08021	BARCELONA	ESPANYA	+34 934144467						
Restaurant Barceloneta	Carrer Escar 22	Ciutat Vella	08039	BARCELONA	ESPANYA	+34 932212111	+34 932212111	http://www.rte.barcelona.com	rte@rte.barceloneta.com			
Restaurant Japonès Kirin	Aragó 231	Eixample	08007	BARCELONA	ESPANYA	+34 934882919	+34 932032076					
Restaurant Casa Chus -  Yerbabuena	Av Diagonal 339	Eixample	08037	BARCELONA	ESPANYA	+34 932070215	+34 932070215					
Restaurant Ca la Montse	Carrer Balboa 14	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 932684976			c.lamontse@telefonica.net			
Restaurant  Xinès Armonia	Pl Joaquim Folguera 1	Sarrià-Sant Gervasi	08022	BARCELONA	ESPANYA	+34 934175849						
Restaurant Telepizza - Rbla Poblenou	Rbla Poblenou 71	Sant Martí	08005	BARCELONA	ESPANYA	+34 933092737		http://www.telepizza.es				
Bar Restaurant Los Toneles	Carrer Selva de Mar 42 bxs	Sant Martí	08019	BARCELONA	ESPANYA	+34 933073094						
Restaurant Andy's	Carrer Xavier Nogués 29	Sant Martí	08019	BARCELONA	ESPANYA	+34 932782044						
Restaurant Café del Centro	Pl Centre 11	Les Corts	08014	BARCELONA	ESPANYA	+34 934902833	+34 934904449					
Restaurant l'Atzavara	Carrer Muntaner 109	Eixample	08036	BARCELONA	ESPANYA	+34 934545925						
Restaurant Merlot	Carrer Diputació 379-381 bxs	Eixample	08013	BARCELONA	ESPANYA	+34 932659083						
Bar Restaurant Anduriña	Carrer Creu Coberta 38	Sants-Montjuïc	08014	BARCELONA	ESPANYA	+34 933259894	+34 933259894					
Restaurant l'Àmfora	Av Paral.lel 184	Eixample	08015	BARCELONA	ESPANYA	+34 933253427						
Restaurant Cafeteria Copi	Carrer Alts Forns 60	Sants-Montjuïc	08038	BARCELONA	ESPANYA	+34 934317096						
Restaurant La Gran Tasca	Carrer Balmes 129-LB	Eixample	08008	BARCELONA	ESPANYA	+34 934515400	+34 934535830					
Bar Restaurant Thalassa	Carrer Consell de Cent 161	Eixample	08015	BARCELONA	ESPANYA	+34 934543906						
Restaurant Mussol - Indústria	Carrer Indústria 166	Eixample	08025	BARCELONA	ESPANYA	+34 934554717						
Bar Frankfurt Diagonal - Pedralbes Centre	Av Diagonal 609	Les Corts	08028	BARCELONA	ESPANYA	+34 934109464	+34 933221149		info@frankfurtdiagonal.com			
Bar Restaurant Nou Bruc	Carrer Bruc 56	Eixample	08009	BARCELONA	ESPANYA	+34 933012248						
Bar Restaurant El Carrilet	Carrer Huelva 96	Sant Martí	08020	BARCELONA	ESPANYA	+34 933056203						
Bar Restaurant Las Gabarras	Entença 250	Les Corts	08029	BARCELONA	ESPANYA	+34 934301108						
Restaurant L'Ouera	Carrer Gran de Gràcia 231	Gràcia	08012	BARCELONA	ESPANYA	+34 932187025						
Restaurant Hermanos Remon	Numància 127	Les Corts	08029	BARCELONA	ESPANYA	+34 934396345						
Restaurant Pizzeria La Mamma	Carrer Villarroel 247	Eixample	08036	BARCELONA	ESPANYA	+34 934300058	+34 933225553		grup.tarrago@telefonica.net			
Restaurant Il Commendatore	Carrer Comte d'Urgell 247	Eixample	08036	BARCELONA	ESPANYA	+34 933225553	+34 933225553		grup.tarrago@telefonica.net			
Restaurant Yeti	Rda General Mitre 196	Sarrià-Sant Gervasi	08006	BARCELONA	ESPANYA	+34 932112188						
Bar Restaurant Cal Nebot	Pla Palau 16	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 933191123						
Restaurant Xinès Gran Chino I	Carrer Banys Nous 8	Ciutat Vella	08002	BARCELONA	ESPANYA							
Restaurant Siempre Viva	Pg J Borbó Comte Barcelona 7	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 933197031						
Restaurant Trattoria Non Solo Pizza	Carrer Enric Granados 110	Eixample	08008	BARCELONA	ESPANYA	+34 932181920						
Restaurant Benguisat	Carrer Deu i Mata 12	Les Corts	08014	BARCELONA	ESPANYA	+34 934050242						
Restaurant Benne Assai	Carrer Doctor Carulla 61	Sarrià-Sant Gervasi	08017	BARCELONA	ESPANYA	+34 934340677						
Bar musical Cafe Noir	Carrer Plató 15	Sarrià-Sant Gervasi	08006	BARCELONA	ESPANYA	+34 934146951						
Da Pietro	Lucà 0016	Sarrià-Sant Gervasi	08022	BARCELONA	ESPANYA	+34 932115750						
Restaurant Bar Palomar	Carrer Palomar 12-14	Sant Andreu	08030	BARCELONA	ESPANYA	+34 932741438						
Bar Restaurant Likantropus	Carrer Cardenal Tedeschini 14-22	Sant Andreu	08027	BARCELONA	ESPANYA	+34 933408145						
Restaurant Gamper	Joan Gamper 5	Les Corts	08014	BARCELONA	ESPANYA	+34 934300193						
Bar Restaurant Antic	Vilamur 18	Les Corts	08014	BARCELONA	ESPANYA	+34 934305108						
Bar Restaurant Roure	Carrer Luís Antúnez 7	Gràcia	08006	BARCELONA	ESPANYA	+34 932377490	+34 932187387			+34 932187387		
Restaurant Quasi Queviures	Pg Gràcia 24 bxs	Eixample	08007	BARCELONA	ESPANYA	+34 933174512	+34 933174508	http://www.angrub.com	q@angrub.com			
Il Caffe di Francesco - Pg Gràcia	Pg Gràcia 0066	Eixample	08007	BARCELONA	ESPANYA	+34 934882590						
Restaurant La Taberna Griega	Carrer Horta 38	Horta-Guinardó	08031	BARCELONA	ESPANYA	+34 933572183			latabernagriega@terra.es			
Restaurant El Racó d'en Freixa	Carrer Sant Elies 22-26	Sarrià-Sant Gervasi	08006	BARCELONA	ESPANYA	+34 932097559	+34 932097918	http://www.elracodenfreixa.com	info@elracodenfreixa.com			
Bar Restaurant Denia	Rbla Badal 75	Sants-Montjuïc	08014	BARCELONA	ESPANYA	+34 934313853						
Restaurant El Dento	Loreto 32	Les Corts	08029	BARCELONA	ESPANYA	+34 933216756	+34 934308342					
Restaurant La Masia del Rocxi	Pg Sant Antoni 17	Sants-Montjuïc	08014	BARCELONA	ESPANYA	+34 934904115	+34 934909147	http://www.rocxi.es				
Restaurant Jaume de Provença	Carrer Provença 88	Eixample	08029	BARCELONA	ESPANYA	+34 934300029	+34 934392950	http://www.jaumeprovenza.com	restaurant@jaumeprovenza.com			
Restaurant Bodeguita del Poble - Poble Espanyol	Av Francesc Ferrer Guàrdia 25	Sants-Montjuïc	08038	BARCELONA	ESPANYA	+34 934246110	+34 934263845	http://www.lasguias.com/labodeguitadelpoble	labodeguita@lasguias.com	+34 932892130		
Restaurant Albi - Poble Espanyol	Av Francesc Ferrer Guàrdia 25	Sants-Montjuïc	08038	BARCELONA	ESPANYA	+34 934249324						
Restaurant Asador Larruskain	Carrer Mallorca 442	Eixample	08013	BARCELONA	ESPANYA	+34 932322367						
Bar Bon-Bar	Carrer Fontanella 13	Eixample	08010	BARCELONA	ESPANYA	+34 933026247						
Bar Pans & Company - Pedralbes Centre	Av Diagonal 609	Les Corts	08028	BARCELONA	ESPANYA	+34 934198740		http://www.pansandcompany.com				
Bar Restaurant Avellana	Carrer Comtal 11	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933178792	+34 933189433					
Bar Restaurant La Gavina d'Or	Carrer Estadella 45	Sant Andreu	08030	BARCELONA	ESPANYA	+34 933135029						
Restaurant Spicca	Carrer Parlament 9 bxs	Eixample	08015	BARCELONA	ESPANYA	+34 934269543						
Restaurant Xinès Ta Tung - Madrazo	Carrer Madrazo 54	Sarrià-Sant Gervasi	08006	BARCELONA	ESPANYA	+34 932009986	+34 932009986					
Restaurant Xinès Ta Tung - Marià Cubi	Carrer Marià Cubí 0085	Sarrià-Sant Gervasi	08006	BARCELONA	ESPANYA	+34 932010095						
Bar Restaurant Orense	Carrer Amílcar 134	Horta-Guinardó	08032	BARCELONA	ESPANYA	+34 934364620						
Restaurant Spezzie	Carrer Regàs 35	Sarrià-Sant Gervasi	08006	BARCELONA	ESPANYA	+34 932181818		http://www.spezzie.com	info@spezzie.com			
Restaurant Tibet	Carrer Ramiro de Maeztu 34	Horta-Guinardó	08024	BARCELONA	ESPANYA	+34 932845045						
Restaurant Tropicana	Carrer Torrent de l'Olla 175 bxs	Gràcia	08012	BARCELONA	ESPANYA	+34 932370650						
Restaurant BB+	Carrer Rosselló 164	Eixample	08036	BARCELONA	ESPANYA	+34 616419549						
Restaurant Mannà	Carrer Llull 74	Sant Martí	08005	BARCELONA	ESPANYA	+34 933094939			jesusmanna@hotmail.com			
Restaurant Tapaç24	Carrer Diputació 269	Eixample	08007	BARCELONA	ESPANYA	+34 934880977		http://www.comerc24.com				
Bar Restaurant Rias de Vigo	Av Paral.lel 190	Eixample	08015	BARCELONA	ESPANYA							
Restaurant El Tast d'Argenteria	Carrer Argenteria 27	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 933193423	+34 933193423					
Restaurant El Racó - Pl Urquinaona	Pl Urquinaona 7 bxs	Eixample	08010	BARCELONA	ESPANYA	+34 934123862	+34 933427817	http://www.el-raco.com				
Restaurant Govinda	Pl Vila de Madrid 4	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933187729		http://www.amalteaygovinda.com	govinda@arrakis.es			
Restaurant Botavara	Pl Barceloneta 1-3	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 932214758						
Restaurant Xinès Doble Dragón	Carrer Lepant 286	Eixample	08013	BARCELONA	ESPANYA	+34 934353148						
Bar Restaurant Cocteleria El Born	Pg Born 26	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 933195333						
Bar Restaurant Mariona	Rda Sant Pere 62	Eixample	08010	BARCELONA	ESPANYA	+34 933194167						
Bar Vella BCN	Antic de Sant Joan 12	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 933195171						
Bar Restaurant Dos Hermanos	Freser 61	Sant Martí	08026	BARCELONA	ESPANYA	+34 934365742						
Bar Snack Black	Breda 7	Les Corts	08029	BARCELONA	ESPANYA	+34 934396819						
Bar Restaurant  Can Vilaró	Comte Borrell 0061	Eixample	08015	BARCELONA	ESPANYA	+34 933250578						
Bar Bodega La Masia	Carrer Elisabets 16	Ciutat Vella	08001	BARCELONA	ESPANYA	+34 933022430						
Restaurant Rincón de Galicia	Rbla Brasil 22	Sants-Montjuïc	08028	BARCELONA	ESPANYA	+34 933397448						
Restaurant Mikerinos	Carrer Muntaner 407	Sarrià-Sant Gervasi	08021	BARCELONA	ESPANYA	+34 932016189						
Restaurant Pei Mong	Carrer Templers 6	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933182873						
Restaurant Erik's	Sant Antoni Maria Claret 0356	Sant Martí	08041	BARCELONA	ESPANYA	+34 933479601						
Bar Restaurant La Bombeta	Carrer Maquinista 3	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 933199445						
Restaurant Cerveseria Geminis	Carrer Muntaner 181	Eixample	08036	BARCELONA	ESPANYA	+34 934309086						
Bar Restaurant La Unión Casa Gámez	Trav Corts 130-132	Les Corts	08028	BARCELONA	ESPANYA	+34 934902443						
Bar Pazo Hermanos Pérez	Carrer Bailèn 61	Eixample	08009	BARCELONA	ESPANYA	+34 932656355						
Bar Restaurant Trelle	Lluçà 12	Les Corts	08028	BARCELONA	ESPANYA	+34 933306364						
Restaurant Taverna la Llesca	Trav Gràcia 86	Sarrià-Sant Gervasi	08006	BARCELONA	ESPANYA	+34 934160503						
Restaurant Bodega Juan	Carrer Rosselló 164	Eixample	08036	BARCELONA	ESPANYA	+34 934531050						
Restaurant La Esquina	Pg Maragall 222	Nou Barris	08031	BARCELONA	ESPANYA	+34 933519656						
Restaurant Braseria Vall de Boi	Pl Doctor Letamendi 37	Eixample	08007	BARCELONA	ESPANYA	+34 933234010						
Bar Restaurant Cal Resolis	Carrer Tordera 28	Gràcia	08012	BARCELONA	ESPANYA	+34 932131056	+34 932131056					
Cafeteria Café & Té - Rambla Catalunya	Rbla Catalunya 92 bxs	Eixample	08008	BARCELONA	ESPANYA	+34 932150459		http://www.cafeandte.com				
Bar Restaurant Berdejo	Sant Manuel 2-6	Nou Barris	08031	BARCELONA	ESPANYA	+34 934206991						
Restaurant Los Maños del Carmelo	Ctra Carmel 72	Horta-Guinardó	08024	BARCELONA	ESPANYA	+34 934291119						
Granja Snack Bar Marina	Av Roma 151	Eixample	08011	BARCELONA	ESPANYA	+34 933236418						
Restaurant Maribàrbola	Av Diagonal 372	Eixample	08037	BARCELONA	ESPANYA	+34 932075804						
Bar las Hermanas	Miguel Hernández 19	Nou Barris	08042	BARCELONA	ESPANYA	+34 934281102						
Restaurant Creperie les 3 Pommes	Carrer Aragó 150	Eixample	08011	BARCELONA	ESPANYA	+34 934515409		http://www.les3pommes.com	info@les3pommes.com			
Restaurant Xix Kebab	Carrer Còrsega 193	Eixample	08036	BARCELONA	ESPANYA	+34 933218210						
Bar Restaurant Xile	Av Sant Ramon Nonat 10	Les Corts	08028	BARCELONA	ESPANYA	+34 934401196						
Restaurant Pirineus	Carrer Duran i Bas 3	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933021587						
Bar Restaurant Costa d'Or	Av Mare Déu de Montserrat 146	Horta-Guinardó	08041	BARCELONA	ESPANYA	+34 934557127						
Bar Restaurant La Fourmi	Carrer Alba 2	Gràcia	08012	BARCELONA	ESPANYA	+34 932133052				Carrer Milà i Fontanals 58		
Bar Restaurant Santilari	Arizala 19	Les Corts	08028	BARCELONA	ESPANYA	+34 934495733						
Restaurant Casa Freixo	Carrer Bruc 36	Eixample	08010	BARCELONA	ESPANYA	+34 933022089						
Restaurant Sannin	Carrer Encarnació 44	Gràcia	08024	BARCELONA	ESPANYA	+34 932850051			esannin@navegalia.com			
Restaurant Los Martínez	Carrer Badajoz 28	Sant Martí	08005	BARCELONA	ESPANYA	+34 932250627						
El Cafè de Sant Andreu	Rbla Fabra i Puig 51	Sant Andreu	08030	BARCELONA	ESPANYA	+34 933464304						
Bar. Restaurant l'Encis	Carrer Provença 379	Eixample	08025	BARCELONA	ESPANYA	+34 934576874		http://www.gulliver.es/encis.htm				
Bar Restaurant Casa Bella	Carrer Montserrat 15	Ciutat Vella	08001	BARCELONA	ESPANYA	+34 933182459						
El Nuevo Sanset	Mineria 17	Sants-Montjuïc	08038	BARCELONA	ESPANYA	+34 933321789						
Restaurant La Oficina	Pg J Borbó Comte Barcelona 30	Ciutat Vella	08003	BARCELONA	ESPANYA							
Bar Restaurant La Granja-Llano	Carrer Farell 12	Sants-Montjuïc	08014	BARCELONA	ESPANYA	+34 934262467						
Bar Niu d'Or	Marina 307	Eixample	08025	BARCELONA	ESPANYA	+34 933474777						
Restaurant Tablao de Carmen - Poble Espanyol	Av Francesc Ferrer Guàrdia 13-27	Sants-Montjuïc	08038	BARCELONA	ESPANYA	+34 933256895	+34 934254616	http://www.tablaodecarmen.com	info@tablaodecarmen.com			
Restaurant a la Menta - Passeig Manuel Girona	Pg Manuel Girona 50	Les Corts	08034	BARCELONA	ESPANYA	+34 932041549		http://www.husarestauracion.com				
Restaurant Marcel	Aragó 235	Eixample	08007	BARCELONA	ESPANYA	+34 932151115						
Restaurant L'Hostal de la Rita	Carrer Aragó 279	Eixample	08007	BARCELONA	ESPANYA	+34 934872376	+34 934872376	http://www.la-rita.com				
Restaurant La Noguera	Carrer València 196	Eixample	08011	BARCELONA	ESPANYA	+34 934516425	+34 934544938					
Restaurant Goulash	Carrer Sabino Arana 32	Les Corts	08028	BARCELONA	ESPANYA	+34 933393019						
Bar Restaurant Cabañeros 2	Carrer Vallespir 17	Sants-Montjuïc	08014	BARCELONA	ESPANYA	+34 934905297						
Ristorante Pastafiore - Canaletas	Carrer la Rambla 125	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933187181						
Restaurant Canta Napoli	Carrer Indústria 21	Gràcia	08037	BARCELONA	ESPANYA	+34 932072887						
Restaurant Casa Ramiro	Conveni 11	Nou Barris	08016	BARCELONA	ESPANYA	+34 933542381	+34 933540550					
Restaurant Pizzeria La Bella Napoli	Carrer Margarit 14	Sants-Montjuïc	08004	BARCELONA	ESPANYA	+34 934425056						
Restaurant Xinès Pa Sin	Pg Maragall 104	Sant Andreu	08027	BARCELONA	ESPANYA	+34 933409366						
Bar Restaurant Ca l'Agusti	Carrer Sant Lluís 9 bxs	Gràcia	08012	BARCELONA	ESPANYA	+34 932185396						
Bar Pans & Company - Provença	Carrer Provença 278	Eixample	08008	BARCELONA	ESPANYA	+34 932150354	+34 934870409	http://www.pansandcompany.com				
Restaurant Pastafiore - Urquinaona	Pl Urquinaona 10	Ciutat Vella	08010	BARCELONA	ESPANYA	+34 933174338		http://www.pastafiore.com				
Restaurant Macrobiòtic Zen	Carrer Muntaner 12	Eixample	08011	BARCELONA	ESPANYA	+34 934546023	+34 608995435					
Restaurant Enoteca-Ateneu Gastronòmic	Pl Sant Miquel 2	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933021198	+34 933021357	http://www.ateneu.com	ateneu@ateneu.com			
Jamaica Coffee Shop - Glòries	Av Diagonal 208	Sant Martí	08018	BARCELONA	ESPANYA	+34 934860209		http://www.jamaicacoffeeshop.es				
Jamaica Coffee Shop - Còrsega	Carrer Còrsega 349	Gràcia	08037	BARCELONA	ESPANYA	+34 934573882		http://www.jamaicacoffeeshop.es				
Restaurant Telepizza - Felip II	Carrer Felip II 137	Sant Andreu	08027	BARCELONA	ESPANYA	+34 934080600		http://www.telepizza.es				
Bar Restaurant Leonés	Av Paral.lel 56	Ciutat Vella	08001	BARCELONA	ESPANYA	+34 933291154						
Bar Restaurant La Pineda Del Port	Carrer Motors 167	Sants-Montjuïc	08038	BARCELONA	ESPANYA	+34 932233115	+34 932233115					
Bar Restaurant Antiga Casa Rafael	Carrer Major de Sarrià 77	Sarrià-Sant Gervasi	08017	BARCELONA	ESPANYA	+34 932031020						
Bar Bodega Sepúlveda	Carrer Sepúlveda 173-LB bxs	Eixample	08011	BARCELONA	ESPANYA	+34 933235944						
Restaurant Marcelino - Trav Corts	Trav Corts 293	Les Corts	08014	BARCELONA	ESPANYA	+34 933221367						
Restaurant Telepizza - Urquinaona	Pl Urquinaona 10	Ciutat Vella	08010	BARCELONA	ESPANYA	+34 933019779						
Bar Ada	Nàpols 281	Gràcia	08025	BARCELONA	ESPANYA	+34 934585276						
Granja L'Escaleta	Trav Gràcia 202	Gràcia	08012	BARCELONA	ESPANYA	+34 932132418						
Bar Fronda	Verdi 15	Gràcia	08012	BARCELONA	ESPANYA	+34 934152055						
Bar Restaurant Ferrería	Carrer Sant Roc 23	Sants-Montjuïc	08014	BARCELONA	ESPANYA	+34 934232469						
Bar Restaurant La Gresca.	Carrer Pau Claris 103	Eixample	08009	BARCELONA	ESPANYA	+34 933010335						
Bar Restaurant Més Que Amics	Carrer Tenor Masini 15	Sants-Montjuïc	08028	BARCELONA	ESPANYA	+34 934900182						
Restaurant Dopazo-1	Pg Verdum 16	Nou Barris	08016	BARCELONA	ESPANYA	+34 933544439						
Bar Restaurant Can Josean	Pl Vallvidrera 6	Sarrià-Sant Gervasi	08017	BARCELONA	ESPANYA	+34 934068399						
Bar Petit Bremen	Santaló 39-41	Sarrià-Sant Gervasi	08021	BARCELONA	ESPANYA	+34 932001120						
Restaurant La Pizza del Born	Pg Born 22	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 933106246						
Restaurant Bayo	Trav Corts 138	Les Corts	08028	BARCELONA	ESPANYA	+34 934110059						
Bar Restaurant Tarrida	Carrer Villarroel 46	Eixample	08011	BARCELONA	ESPANYA	+34 934531175						
Restaurant Xinés Lu Bi	Carrer Pintor Tapiró 8	Les Corts	08028	BARCELONA	ESPANYA	+34 933340262						
Bar Restaurant Casa López	Carrer Topazi 11	Gràcia	08012	BARCELONA	ESPANYA	+34 932181087						
Bar Restaurant Cal Robert	Carrer Tordera 58	Gràcia	08012	BARCELONA	ESPANYA	+34 932072253						
Restaurant Sandvitxeria Hollywood-El Call	Carrer Sant Màrius 38	Sarrià-Sant Gervasi	08022	BARCELONA	ESPANYA	+34 932113490						
Restaurant Remei	Carrer Rossend Arús 41	Sants-Montjuïc	08014	BARCELONA	ESPANYA	+34 933325466						
Restaurant Marisqueria Montalban	Carrer Margarit 31	Sants-Montjuïc	08004	BARCELONA	ESPANYA	+34 934423143						
Bar Bloody Mary.	Londres 95	Eixample	08036	BARCELONA	ESPANYA	+34 934305811						
Restaurant Hollywood-Dragons	Carrer Coll i Vehí 18-20	Sant Martí	08026	BARCELONA	ESPANYA	+34 934503154						
Restaurant Carlos III	G.V. Carles III 21	Les Corts	08028	BARCELONA	ESPANYA	+34 933301646						
Restaurant Victor	Deu i Mata 43	Les Corts	08014	BARCELONA	ESPANYA	+34 934108050						
Cerveseria Catalana	Mallorca 236	Eixample	08008	BARCELONA	ESPANYA	+34 932160368						
Bar Restaurant Las Rias	Ctra Bordeta 52	Sants-Montjuïc	08014	BARCELONA	ESPANYA	+34 933257000						
Restaurant Cantina Hola Manito	Carrer Gran de Gràcia 167	Gràcia	08012	BARCELONA	ESPANYA	+34 932376020						
Bar Bruixes	Carrer Espronceda 96 bxs	Sant Martí	08005	BARCELONA	ESPANYA	+34 933085730						
Bar Restaurant Hidalgo	Carrer Balmes 396	Sarrià-Sant Gervasi	08022	BARCELONA	ESPANYA	+34 934171196						
Restaurant Los Angeles	G.V. Corts Catalanes 479	Eixample	08015	BARCELONA	ESPANYA	+34 933259961						
Bar Restaurant El Nuevo Peñón	Gelabert 14	Les Corts	08029	BARCELONA	ESPANYA	+34 934305156						
Restaurant Marcelino - Diputació	Carrer Diputació 41	Eixample	08015	BARCELONA	ESPANYA	+34 934246267						
Restaurant El Foc	Carrer Blasco de Garay 8	Sants-Montjuïc	08004	BARCELONA	ESPANYA	+34 934422253		http://www.elfoc.com				
Restaurant Maes de Flandes	G.V. Corts Catalanes 618	Eixample	08007	BARCELONA	ESPANYA	+34 933170921	+34 933170974	http://www.lanetro.com	frafab@teleline.es			
Restaurant El Furacu	Carrer Girona 52	Eixample	08009	BARCELONA	ESPANYA	+34 932651783						
Bar Pazo	Consell de Cent 123	Eixample	08015	BARCELONA	ESPANYA	+34 933253090						
Bar Restaurant Los de Zamora	Carrer Montserrat 13	Ciutat Vella	08001	BARCELONA	ESPANYA	+34 933025073						
Restaurant Sant Gallén	Consell de Cent 0357	Eixample	08007	BARCELONA	ESPANYA	+34 934121500						
Restaurant La Palmera	Carrer Enric Granados 57	Eixample	08008	BARCELONA	ESPANYA	+34 934532338	+34 933235073					
Restaurant El Refugi de Rogent	Carrer Rogent 18	Sant Martí	08026	BARCELONA	ESPANYA	+34 932450062						
Restaurant La Vaqueria	Deu i Mata 141	Les Corts	08029	BARCELONA	ESPANYA	+34 934190735	+34 934190784			+34 933221203		
Restaurant la Mamasita	Av Sarrià 10	Eixample	08029	BARCELONA	ESPANYA	+34 933219296	+34 934524794	http://www.lamamasita-restaurant.com				
Bar Burger King - Glòries	Av Diagonal 208	Sant Martí	08018	BARCELONA	ESPANYA	+34 934861431	+34 934861419	http://www.burgerking.es				
